TENANT_ID;NEGO_PARENT_TYPE_CODE;SORT_NO;NEGO_PARENT_TYPE_NAME;LOCAL_CREATE_DTM;LOCAL_UPDATE_DTM;CREATE_USER_ID;UPDATE_USER_ID;SYSTEM_CREATE_DTM;SYSTEM_UPDATE_DTM
L2100;QP;1;견적 계획;2021-01-25 11:08;2021-01-25 11:08;A60248;A60248;2021-01-25 11:08;2021-01-25 11:08
L2100;BP;2;입찰 계획;2021-01-25 11:08;2021-01-25 11:08;A60248;A60248;2021-01-25 11:08;2021-01-25 11:08
