TENANT_ID;EVALUATION_TYPE_CODE;SORT_NO;EVALUATION_TYPE_NAME;LOCAL_CREATE_DTM;LOCAL_UPDATE_DTM;CREATE_USER_ID;UPDATE_USER_ID;SYSTEM_CREATE_DTM;SYSTEM_UPDATE_DTM
L2100;OP;1;가격;2021-01-25 11:08;2021-01-25 11:08;A60248;A60248;2021-01-25 11:08;2021-01-25 11:08
L2100;PNP;2;가격+비가격;2021-01-25 11:08;2021-01-25 11:08;A60248;A60248;2021-01-25 11:08;2021-01-25 11:08
